
RevBayes version (1.1.1)
Build from master (rapture-588-gae00cc) on Thu Feb 11 15:28:28 CST 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("Morpho_TA_M3.Rev")
   Processing file "Morpho_TA_M3.Rev"
   Successfully read one character matrix from file '../data/TA-50char.nex'
   Processing file "tree_BD.Rev"
   Processing of file "tree_BD.Rev" completed
   Processing file "clock_global.Rev"
   Processing of file "clock_global.Rev" completed
   Processing file "Q_ED_M3.Rev"
   Processing of file "Q_ED_M3.Rev" completed

   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************


   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |       timetree   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
0           |       -291.445   |       -284.891   |       -6.55444   |   ((B[&index=1]:0.587640,(C[&index=3]:0.310765,D[&index=4]:0.310765)[&index=5]:0.276875)[&index=6]:0.412360,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:00   |   --:--:--   |
200         |       -293.764   |       -289.786   |       -3.97759   |   ((B[&index=1]:0.793184,A[&index=2]:0.793184)[&index=6]:0.206816,(C[&index=3]:0.547351,D[&index=4]:0.547351)[&index=5]:0.452649)[&index=7]:0.000000;   |   00:00:00   |   --:--:--   |
400         |       -291.951   |       -287.314   |       -4.63666   |   (((D[&index=4]:0.529522,C[&index=3]:0.529522)[&index=5]:0.392927,B[&index=1]:0.922448)[&index=6]:0.077552,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:00   |   00:00:00   |
600         |       -296.067   |       -284.464   |       -11.6033   |   (((D[&index=4]:0.243481,C[&index=3]:0.243481)[&index=5]:0.064379,B[&index=1]:0.307861)[&index=6]:0.692139,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:00   |   00:00:00   |
800         |       -292.664   |       -288.121   |       -4.54264   |   (((C[&index=3]:0.544167,D[&index=4]:0.544167)[&index=5]:0.317760,B[&index=1]:0.861928)[&index=6]:0.138072,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:01   |   00:04:09   |
1000        |        -293.82   |       -289.732   |       -4.08819   |   (A[&index=2]:1.000000,((B[&index=1]:0.437723,C[&index=3]:0.437723)[&index=5]:0.083151,D[&index=4]:0.520874)[&index=6]:0.479126)[&index=7]:0.000000;   |   00:00:01   |   00:03:19   |
1200        |       -298.863   |       -291.092   |       -7.77166   |   ((A[&index=2]:0.522722,B[&index=1]:0.522722)[&index=6]:0.477278,(D[&index=4]:0.553673,C[&index=3]:0.553673)[&index=5]:0.446327)[&index=7]:0.000000;   |   00:00:01   |   00:02:45   |
1400        |        -293.14   |       -288.789   |       -4.35147   |   ((A[&index=2]:0.893266,B[&index=1]:0.893266)[&index=6]:0.106734,(C[&index=3]:0.425016,D[&index=4]:0.425016)[&index=5]:0.574984)[&index=7]:0.000000;   |   00:00:01   |   00:02:21   |
1600        |       -292.566   |       -287.263   |       -5.30235   |   ((A[&index=2]:0.956819,B[&index=1]:0.956819)[&index=6]:0.043181,(D[&index=4]:0.502267,C[&index=3]:0.502267)[&index=5]:0.497733)[&index=7]:0.000000;   |   00:00:02   |   00:04:08   |
