
RevBayes version (1.1.1)
Build from master (rapture-588-gae00cc) on Thu Feb 11 15:28:28 CST 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("Morpho_TA_M3_exp.Rev")
   Processing file "Morpho_TA_M3_exp.Rev"
   Successfully read one character matrix from file '../data/TA-50char.nex'
   Processing file "tree_BD.Rev"
   Processing of file "tree_BD.Rev" completed
   Processing file "clock_global.Rev"
   Processing of file "clock_global.Rev" completed
   Processing file "Q_ED_M3_exp.Rev"
   Processing of file "Q_ED_M3_exp.Rev" completed

   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************


   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |       timetree   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
0           |       -297.726   |       -291.362   |       -6.36314   |   (((D[&index=2]:0.344028,C[&index=4]:0.344028)[&index=6]:0.123522,B[&index=1]:0.467550)[&index=5]:0.532450,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:00   |   --:--:--   |
200         |       -299.736   |       -292.689   |       -7.04695   |   (((C[&index=4]:0.379984,D[&index=2]:0.379984)[&index=6]:0.117536,B[&index=1]:0.497520)[&index=5]:0.502480,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:01   |   --:--:--   |
400         |       -299.907   |       -294.501   |       -5.40627   |   (((C[&index=4]:0.304176,D[&index=2]:0.304176)[&index=6]:0.258328,B[&index=1]:0.562504)[&index=5]:0.437496,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:01   |   00:08:19   |
600         |       -298.931   |       -293.233   |       -5.69828   |   (((D[&index=2]:0.364582,C[&index=4]:0.364582)[&index=6]:0.107609,B[&index=1]:0.472192)[&index=5]:0.527808,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:02   |   00:11:04   |
800         |        -298.72   |       -293.751   |       -4.96883   |   ((B[&index=1]:0.622075,(D[&index=2]:0.370785,C[&index=4]:0.370785)[&index=6]:0.251290)[&index=5]:0.377925,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:02   |   00:08:18   |
1000        |       -300.996   |        -294.38   |       -6.61566   |   (((D[&index=2]:0.351926,C[&index=4]:0.351926)[&index=6]:0.390030,B[&index=1]:0.741956)[&index=5]:0.258044,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:03   |   00:09:57   |
1200        |       -307.591   |       -294.092   |       -13.4984   |   (((D[&index=2]:0.328484,C[&index=4]:0.328484)[&index=6]:0.187746,B[&index=1]:0.516229)[&index=5]:0.483771,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:04   |   00:11:02   |
1400        |       -301.244   |       -292.618   |       -8.62642   |   (((C[&index=4]:0.256206,D[&index=2]:0.256206)[&index=6]:0.490623,B[&index=1]:0.746829)[&index=5]:0.253171,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:04   |   00:09:27   |
1600        |       -301.043   |       -294.554   |       -6.48821   |   (((D[&index=2]:0.423977,C[&index=4]:0.423977)[&index=6]:0.195823,B[&index=1]:0.619800)[&index=5]:0.380200,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:05   |   00:10:20   |
