
RevBayes version (1.1.1)
Build from master (rapture-588-gae00cc) on Thu Feb 11 15:28:28 CST 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("Morpho_TA_M3_exp.Rev")
   Processing file "Morpho_TA_M3_exp.Rev"
   Successfully read one character matrix from file '../data/TA-50char.nex'
   Processing file "tree_BD.Rev"
   Processing of file "tree_BD.Rev" completed
   Processing file "clock_global.Rev"
   Processing of file "clock_global.Rev" completed
   Processing file "Q_ED_M3_exp.Rev"
   Processing of file "Q_ED_M3_exp.Rev" completed

   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************


   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |       timetree   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
0           |       -294.567   |       -289.198   |       -5.36885   |   (((D[&index=1]:0.314339,C[&index=4]:0.314339)[&index=5]:0.459303,B[&index=3]:0.773642)[&index=6]:0.226358,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:00   |   --:--:--   |
200         |       -293.692   |        -289.66   |       -4.03204   |   (((C[&index=4]:0.437389,D[&index=1]:0.437389)[&index=5]:0.546145,B[&index=3]:0.983534)[&index=6]:0.016466,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:00   |   --:--:--   |
400         |       -294.091   |       -288.288   |       -5.80364   |   ((B[&index=3]:0.614554,(D[&index=1]:0.459712,C[&index=4]:0.459712)[&index=5]:0.154842)[&index=6]:0.385446,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:01   |   00:08:19   |
600         |       -295.476   |       -290.489   |       -4.98656   |   (((C[&index=4]:0.474042,B[&index=3]:0.474042)[&index=5]:0.043040,D[&index=1]:0.517082)[&index=6]:0.482918,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:02   |   00:11:04   |
800         |       -295.845   |        -287.92   |       -7.92508   |   (((C[&index=4]:0.315925,D[&index=1]:0.315925)[&index=5]:0.269617,B[&index=3]:0.585542)[&index=6]:0.414458,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:02   |   00:08:18   |
1000        |       -294.603   |       -290.095   |       -4.50781   |   (((D[&index=1]:0.414115,C[&index=4]:0.414115)[&index=5]:0.077587,B[&index=3]:0.491701)[&index=6]:0.508299,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:03   |   00:09:57   |
1200        |         -295.5   |       -291.564   |       -3.93529   |   ((B[&index=3]:0.610741,(D[&index=1]:0.354174,C[&index=4]:0.354174)[&index=5]:0.256567)[&index=6]:0.389259,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:03   |   00:08:17   |
1400        |       -293.085   |       -288.633   |       -4.45172   |   (((C[&index=4]:0.445787,D[&index=1]:0.445787)[&index=6]:0.322156,B[&index=3]:0.767943)[&index=5]:0.232057,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:04   |   00:09:27   |
1600        |       -295.149   |       -287.649   |       -7.49987   |   (((C[&index=4]:0.334817,D[&index=1]:0.334817)[&index=6]:0.150223,B[&index=3]:0.485040)[&index=5]:0.514960,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:04   |   00:08:16   |
1800        |       -294.052   |       -288.839   |       -5.21263   |   ((B[&index=3]:0.805613,(D[&index=1]:0.500162,C[&index=4]:0.500162)[&index=6]:0.305451)[&index=5]:0.194387,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:05   |   00:09:10   |
2000        |       -294.518   |       -288.914   |       -5.60408   |   ((B[&index=3]:0.817374,(C[&index=4]:0.481336,D[&index=1]:0.481336)[&index=6]:0.336038)[&index=5]:0.182626,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:05   |   00:08:15   |
2200        |       -299.644   |       -290.454   |       -9.19022   |   (((D[&index=1]:0.624553,C[&index=4]:0.624553)[&index=6]:0.268380,B[&index=3]:0.892934)[&index=5]:0.107066,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:06   |   00:08:59   |
2400        |       -294.035   |       -289.791   |       -4.24366   |   ((A[&index=2]:0.990081,B[&index=3]:0.990081)[&index=5]:0.009919,(C[&index=4]:0.385435,D[&index=1]:0.385435)[&index=6]:0.614565)[&index=7]:0.000000;   |   00:00:06   |   00:08:14   |
2600        |       -300.717   |       -294.169   |       -6.54827   |   (((B[&index=3]:0.430142,C[&index=4]:0.430142)[&index=5]:0.314514,D[&index=1]:0.744656)[&index=6]:0.255344,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:07   |   00:08:51   |
2800        |       -294.718   |       -289.982   |       -4.73558   |   ((A[&index=2]:0.794667,B[&index=3]:0.794667)[&index=6]:0.205333,(C[&index=4]:0.524755,D[&index=1]:0.524755)[&index=5]:0.475245)[&index=7]:0.000000;   |   00:00:08   |   00:09:23   |
3000        |       -292.996   |       -288.853   |       -4.14316   |   ((B[&index=3]:0.732463,(C[&index=4]:0.502827,D[&index=1]:0.502827)[&index=5]:0.229636)[&index=6]:0.267537,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:08   |   00:08:45   |
3200        |       -296.841   |       -294.265   |       -2.57531   |   ((B[&index=3]:0.926136,A[&index=2]:0.926136)[&index=6]:0.073864,(C[&index=4]:0.585520,D[&index=1]:0.585520)[&index=5]:0.414480)[&index=7]:0.000000;   |   00:00:09   |   00:09:13   |
3400        |       -294.644   |       -290.019   |       -4.62451   |   ((C[&index=4]:0.546670,D[&index=1]:0.546670)[&index=5]:0.453330,(B[&index=3]:0.844167,A[&index=2]:0.844167)[&index=6]:0.155833)[&index=7]:0.000000;   |   00:00:09   |   00:08:40   |
3600        |       -294.922   |       -288.232   |       -6.68917   |   ((B[&index=3]:0.787990,(D[&index=1]:0.340936,C[&index=4]:0.340936)[&index=5]:0.447054)[&index=6]:0.212010,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:10   |   00:09:05   |
3800        |       -294.519   |       -287.581   |       -6.93794   |   (((D[&index=1]:0.329683,C[&index=4]:0.329683)[&index=5]:0.260743,B[&index=3]:0.590426)[&index=6]:0.409574,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:10   |   00:08:36   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       timetree   |    elapsed   |        ETA   |
