
RevBayes version (1.1.1)
Build from master (rapture-588-gae00cc) on Thu Feb 11 15:28:28 CST 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("Morpho_TA_M6_exp.Rev")
   Processing file "Morpho_TA_M6_exp.Rev"
   Successfully read one character matrix from file '../data/TA-50char.nex'
   Processing file "tree_BD.Rev"
   Processing of file "tree_BD.Rev" completed
   Processing file "clock_global.Rev"
   Processing of file "clock_global.Rev" completed
   Processing file "Q_ED_M6_exp.Rev"
   Processing of file "Q_ED_M6_exp.Rev" completed

   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************


   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |       timetree   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
0           |       -306.059   |       -288.843   |       -17.2155   |   ((B[&index=4]:0.783952,A[&index=1]:0.783952)[&index=5]:0.216048,(C[&index=2]:0.388192,D[&index=3]:0.388192)[&index=6]:0.611808)[&index=7]:0.000000;   |   00:00:00   |   --:--:--   |
200         |       -307.139   |       -289.692   |       -17.4463   |   ((C[&index=2]:0.793265,D[&index=3]:0.793265)[&index=5]:0.206735,(B[&index=4]:0.659913,A[&index=1]:0.659913)[&index=6]:0.340087)[&index=7]:0.000000;   |   00:00:00   |   --:--:--   |
400         |       -305.846   |       -287.755   |       -18.0909   |   ((A[&index=1]:0.508467,B[&index=4]:0.508467)[&index=5]:0.491533,(C[&index=2]:0.386249,D[&index=3]:0.386249)[&index=6]:0.613751)[&index=7]:0.000000;   |   00:00:01   |   00:08:19   |
600         |       -307.615   |       -287.928   |       -19.6875   |   ((B[&index=4]:0.502566,A[&index=1]:0.502566)[&index=5]:0.497434,(C[&index=2]:0.762635,D[&index=3]:0.762635)[&index=6]:0.237365)[&index=7]:0.000000;   |   00:00:01   |   00:05:32   |
800         |       -308.513   |       -288.747   |       -19.7659   |   (((D[&index=3]:0.421666,C[&index=2]:0.421666)[&index=6]:0.485963,B[&index=4]:0.907629)[&index=5]:0.092371,A[&index=1]:1.000000)[&index=7]:0.000000;   |   00:00:02   |   00:08:18   |
1000        |       -305.191   |       -288.004   |       -17.1871   |   ((A[&index=1]:0.639087,B[&index=4]:0.639087)[&index=6]:0.360913,(D[&index=3]:0.414471,C[&index=2]:0.414471)[&index=5]:0.585529)[&index=7]:0.000000;   |   00:00:02   |   00:06:38   |
1200        |        -309.98   |       -285.722   |       -24.2586   |   ((C[&index=2]:0.427158,D[&index=3]:0.427158)[&index=6]:0.572842,(A[&index=1]:0.754536,B[&index=4]:0.754536)[&index=5]:0.245464)[&index=7]:0.000000;   |   00:00:03   |   00:08:17   |
1400        |       -307.374   |       -287.416   |       -19.9582   |   (((C[&index=2]:0.454017,D[&index=3]:0.454017)[&index=6]:0.515046,B[&index=4]:0.969064)[&index=5]:0.030936,A[&index=1]:1.000000)[&index=7]:0.000000;   |   00:00:03   |   00:07:05   |
1600        |       -309.613   |       -285.337   |       -24.2766   |   ((A[&index=1]:0.698680,B[&index=4]:0.698680)[&index=5]:0.301320,(C[&index=2]:0.488394,D[&index=3]:0.488394)[&index=6]:0.511606)[&index=7]:0.000000;   |   00:00:04   |   00:08:16   |
