
RevBayes version (1.1.1)
Build from master (rapture-588-gae00cc) on Thu Feb 11 15:28:28 CST 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("Morpho_TA_M3_exp.Rev")
   Processing file "Morpho_TA_M3_exp.Rev"
   Successfully read one character matrix from file '../data/TA-50char.nex'
   Processing file "tree_BD.Rev"
   Processing of file "tree_BD.Rev" completed
   Processing file "clock_global.Rev"
   Processing of file "clock_global.Rev" completed
   Processing file "Q_ED_M3_exp.Rev"
   Processing of file "Q_ED_M3_exp.Rev" completed

   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************


   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |       timetree   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
0           |       -298.193   |       -291.906   |        -6.2868   |   ((B[&index=3]:0.494315,(C[&index=4]:0.381046,D[&index=1]:0.381046)[&index=5]:0.113268)[&index=6]:0.505685,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:00   |   --:--:--   |
200         |       -300.263   |       -293.628   |       -6.63477   |   (((C[&index=4]:0.378572,D[&index=1]:0.378572)[&index=5]:0.099125,B[&index=3]:0.477696)[&index=6]:0.522304,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:00   |   --:--:--   |
400         |       -298.449   |       -290.065   |       -8.38431   |   (((D[&index=1]:0.275415,C[&index=4]:0.275415)[&index=5]:0.130634,B[&index=3]:0.406049)[&index=6]:0.593951,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:01   |   00:08:19   |
600         |       -299.053   |        -290.42   |        -8.6325   |   (((C[&index=4]:0.290418,D[&index=1]:0.290418)[&index=5]:0.163547,B[&index=3]:0.453965)[&index=6]:0.546035,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:02   |   00:11:04   |
800         |       -298.511   |       -291.092   |       -7.41854   |   (((D[&index=1]:0.303033,C[&index=4]:0.303033)[&index=5]:0.164633,B[&index=3]:0.467666)[&index=6]:0.532334,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:02   |   00:08:18   |
1000        |       -301.704   |       -297.087   |       -4.61754   |   (((C[&index=4]:0.354697,D[&index=1]:0.354697)[&index=5]:0.355658,B[&index=3]:0.710355)[&index=6]:0.289645,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:03   |   00:09:57   |
1200        |       -298.591   |       -291.705   |       -6.88656   |   (((C[&index=4]:0.378565,D[&index=1]:0.378565)[&index=5]:0.099271,B[&index=3]:0.477836)[&index=6]:0.522164,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:04   |   00:11:02   |
1400        |       -300.764   |       -292.845   |       -7.91887   |   (((C[&index=4]:0.311649,D[&index=1]:0.311649)[&index=5]:0.400236,B[&index=3]:0.711885)[&index=6]:0.288115,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:04   |   00:09:27   |
1600        |       -302.736   |        -296.36   |       -6.37506   |   (((C[&index=4]:0.424570,D[&index=1]:0.424570)[&index=5]:0.525163,B[&index=3]:0.949733)[&index=6]:0.050267,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:05   |   00:10:20   |
1800        |       -304.422   |       -298.301   |       -6.12139   |   ((B[&index=3]:0.797054,A[&index=2]:0.797054)[&index=6]:0.202946,(D[&index=1]:0.396403,C[&index=4]:0.396403)[&index=5]:0.603597)[&index=7]:0.000000;   |   00:00:05   |   00:09:10   |
2000        |       -303.545   |       -296.168   |       -7.37658   |   ((A[&index=2]:0.767976,B[&index=3]:0.767976)[&index=6]:0.232024,(C[&index=4]:0.199018,D[&index=1]:0.199018)[&index=5]:0.800982)[&index=7]:0.000000;   |   00:00:06   |   00:09:54   |
2200        |       -298.934   |       -292.607   |       -6.32697   |   (((C[&index=4]:0.336147,D[&index=1]:0.336147)[&index=5]:0.240818,B[&index=3]:0.576965)[&index=6]:0.423035,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:07   |   00:10:29   |
2400        |       -303.093   |       -297.338   |       -5.75571   |   (((D[&index=1]:0.586248,C[&index=4]:0.586248)[&index=5]:0.088532,B[&index=3]:0.674781)[&index=6]:0.325219,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:07   |   00:09:36   |
2600        |       -298.941   |       -291.054   |       -7.88661   |   ((B[&index=3]:0.501016,(C[&index=4]:0.289957,D[&index=1]:0.289957)[&index=5]:0.211059)[&index=6]:0.498984,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:08   |   00:10:07   |
2800        |       -302.264   |       -293.957   |       -8.30654   |   ((A[&index=2]:0.806359,B[&index=3]:0.806359)[&index=6]:0.193641,(D[&index=1]:0.255556,C[&index=4]:0.255556)[&index=5]:0.744444)[&index=7]:0.000000;   |   00:00:09   |   00:10:33   |
3000        |       -302.646   |       -296.947   |       -5.69982   |   ((A[&index=2]:0.982133,(D[&index=1]:0.333399,C[&index=4]:0.333399)[&index=5]:0.648734)[&index=6]:0.017867,B[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:09   |   00:09:51   |
3200        |       -300.037   |       -293.444   |       -6.59296   |   (((C[&index=4]:0.402678,D[&index=1]:0.402678)[&index=5]:0.246328,B[&index=3]:0.649006)[&index=6]:0.350994,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:10   |   00:10:15   |
3400        |       -297.979   |       -291.606   |       -6.37284   |   (((D[&index=1]:0.334889,C[&index=4]:0.334889)[&index=5]:0.183511,B[&index=3]:0.518400)[&index=6]:0.481600,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:10   |   00:09:38   |
3600        |       -299.074   |       -292.557   |       -6.51719   |   ((B[&index=3]:0.588388,(D[&index=1]:0.392504,C[&index=4]:0.392504)[&index=5]:0.195884)[&index=6]:0.411612,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:11   |   00:10:00   |
3800        |       -298.097   |        -292.16   |       -5.93727   |   (((D[&index=1]:0.359922,C[&index=4]:0.359922)[&index=5]:0.174446,B[&index=3]:0.534369)[&index=6]:0.465631,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:12   |   00:10:19   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       timetree   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
4000        |       -300.459   |       -290.621   |       -9.83866   |   (((C[&index=4]:0.279784,D[&index=1]:0.279784)[&index=5]:0.198828,B[&index=3]:0.478613)[&index=6]:0.521387,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:12   |   00:09:48   |
4200        |       -299.271   |       -293.361   |        -5.9094   |   (((C[&index=4]:0.298677,D[&index=1]:0.298677)[&index=5]:0.418127,B[&index=3]:0.716804)[&index=6]:0.283196,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:13   |   00:10:06   |
4400        |       -298.876   |       -291.633   |       -7.24242   |   ((B[&index=3]:0.519070,(D[&index=1]:0.304156,C[&index=4]:0.304156)[&index=5]:0.214914)[&index=6]:0.480930,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:14   |   00:10:22   |
4600        |       -302.578   |       -295.446   |        -7.1319   |   ((B[&index=3]:0.731821,(D[&index=1]:0.483592,C[&index=4]:0.483592)[&index=5]:0.248228)[&index=6]:0.268179,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:14   |   00:09:54   |
4800        |       -302.939   |       -293.276   |       -9.66308   |   (((C[&index=4]:0.262882,D[&index=1]:0.262882)[&index=5]:0.522531,B[&index=3]:0.785413)[&index=6]:0.214587,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:15   |   00:10:10   |
5000        |        -299.38   |        -292.94   |       -6.43969   |   ((B[&index=3]:0.664939,(D[&index=1]:0.373870,C[&index=4]:0.373870)[&index=5]:0.291069)[&index=6]:0.335061,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:16   |   00:10:24   |
5200        |       -301.613   |       -290.744   |       -10.8686   |   ((B[&index=3]:0.433092,(C[&index=4]:0.290242,D[&index=1]:0.290242)[&index=5]:0.142850)[&index=6]:0.566908,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:16   |   00:09:59   |
5400        |       -301.162   |       -295.167   |       -5.99563   |   (((C[&index=4]:0.350014,D[&index=1]:0.350014)[&index=5]:0.549824,B[&index=3]:0.899839)[&index=6]:0.100161,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:17   |   00:10:12   |
5600        |       -301.087   |       -295.913   |       -5.17383   |   (((C[&index=4]:0.373763,D[&index=1]:0.373763)[&index=5]:0.472602,B[&index=3]:0.846365)[&index=6]:0.153635,A[&index=2]:1.000000)[&index=7]:0.000000;   |   00:00:18   |   00:10:24   |
