
RevBayes version (1.1.1)
Build from master (rapture-588-gae00cc) on Thu Feb 11 15:28:28 CST 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("Morpho_TA_SMM_ind.Rev")
   Processing file "Morpho_TA_SMM_ind.Rev"
   Successfully read one character matrix from file '../data/TA-50char.nex'
   Processing file "tree_BD.Rev"
   Processing of file "tree_BD.Rev" completed
   Processing file "clock_global.Rev"
   Processing of file "clock_global.Rev" completed
   Processing file "Q_SMM_ind.Rev"
   Processing of file "Q_SMM_ind.Rev" completed

   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************


   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 6 different moves in a random move schedule with 15.8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |       timetree   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
0           |       -331.019   |       -311.189   |       -19.8292   |   (A[&index=3]:1.000000,((D[&index=2]:0.401043,C[&index=1]:0.401043)[&index=5]:0.547252,B[&index=4]:0.948295)[&index=6]:0.051705)[&index=7]:0.000000;   |   00:00:00   |   --:--:--   |
200         |       -332.235   |       -307.848   |       -24.3879   |   (((C[&index=1]:0.248958,D[&index=2]:0.248958)[&index=5]:0.728175,A[&index=3]:0.977133)[&index=6]:0.022867,B[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:01   |   --:--:--   |
400         |       -333.608   |       -317.339   |       -16.2688   |   ((B[&index=4]:0.929580,(D[&index=2]:0.539216,C[&index=1]:0.539216)[&index=5]:0.390364)[&index=6]:0.070420,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:02   |   00:16:38   |
600         |       -331.812   |        -315.64   |       -16.1722   |   (((D[&index=2]:0.401703,C[&index=1]:0.401703)[&index=5]:0.593167,B[&index=4]:0.994870)[&index=6]:0.005130,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:03   |   00:16:37   |
800         |       -331.663   |       -311.524   |       -20.1383   |   (((D[&index=2]:0.418584,C[&index=1]:0.418584)[&index=5]:0.260047,B[&index=4]:0.678631)[&index=6]:0.321369,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:04   |   00:16:36   |
1000        |       -331.417   |       -313.153   |       -18.2635   |   (((C[&index=1]:0.512466,D[&index=2]:0.512466)[&index=5]:0.418702,B[&index=4]:0.931169)[&index=6]:0.068831,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:05   |   00:16:35   |
1200        |       -330.564   |       -310.765   |       -19.7986   |   ((A[&index=3]:0.993173,B[&index=4]:0.993173)[&index=6]:0.006827,(D[&index=2]:0.470530,C[&index=1]:0.470530)[&index=5]:0.529470)[&index=7]:0.000000;   |   00:00:05   |   00:13:48   |
1400        |       -331.295   |         -314.1   |       -17.1955   |   (((C[&index=1]:0.291102,D[&index=2]:0.291102)[&index=5]:0.680720,A[&index=3]:0.971822)[&index=6]:0.028178,B[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:06   |   00:14:11   |
1600        |       -331.407   |       -308.726   |       -22.6808   |   (((D[&index=2]:0.251978,C[&index=1]:0.251978)[&index=5]:0.426407,B[&index=4]:0.678385)[&index=6]:0.321615,A[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:07   |   00:14:28   |
1800        |       -331.465   |       -315.528   |       -15.9374   |   ((D[&index=2]:0.453612,C[&index=1]:0.453612)[&index=5]:0.546388,(A[&index=3]:0.940818,B[&index=4]:0.940818)[&index=6]:0.059182)[&index=7]:0.000000;   |   00:00:08   |   00:14:40   |
