
RevBayes version (1.1.1)
Build from master (rapture-588-gae00cc) on Thu Feb 11 15:28:28 CST 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("Morpho_TA_M5.Rev")
   Processing file "Morpho_TA_M5.Rev"
   Successfully read one character matrix from file '../data/TA-50char.nex'
   Processing file "tree_BD.Rev"
   Processing of file "tree_BD.Rev" completed
   Processing file "clock_global.Rev"
   Processing of file "clock_global.Rev" completed
   Processing file "Q_ED_M5.Rev"
   Processing of file "Q_ED_M5.Rev" completed

   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 8 different moves in a random move schedule with 19.8 moves per iteration

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************


   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 8 different moves in a random move schedule with 19.8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |       timetree   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
0           |       -285.123   |       -281.802   |       -3.32118   |   (((C[&index=2]:0.533051,D[&index=1]:0.533051)[&index=6]:0.306384,B[&index=3]:0.839436)[&index=5]:0.160564,A[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:00   |   --:--:--   |
200         |       -285.292   |       -284.167   |       -1.12552   |   ((D[&index=1]:0.966472,A[&index=4]:0.966472)[&index=6]:0.033528,(C[&index=2]:0.869712,B[&index=3]:0.869712)[&index=5]:0.130288)[&index=7]:0.000000;   |   00:00:01   |   --:--:--   |
400         |       -289.599   |        -284.19   |       -5.40913   |   ((C[&index=2]:0.520364,D[&index=1]:0.520364)[&index=5]:0.479636,(B[&index=3]:0.871235,A[&index=4]:0.871235)[&index=6]:0.128765)[&index=7]:0.000000;   |   00:00:01   |   00:08:19   |
600         |       -284.196   |       -281.052   |       -3.14332   |   ((B[&index=3]:0.739313,A[&index=4]:0.739313)[&index=5]:0.260687,(D[&index=1]:0.490083,C[&index=2]:0.490083)[&index=6]:0.509917)[&index=7]:0.000000;   |   00:00:02   |   00:11:04   |
800         |       -285.059   |       -281.362   |       -3.69619   |   (((C[&index=2]:0.421152,D[&index=1]:0.421152)[&index=6]:0.487132,B[&index=3]:0.908284)[&index=5]:0.091716,A[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:02   |   00:08:18   |
1000        |       -288.874   |       -285.584   |       -3.29018   |   ((B[&index=3]:0.796564,(D[&index=1]:0.473577,C[&index=2]:0.473577)[&index=6]:0.322987)[&index=5]:0.203436,A[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:03   |   00:09:57   |
1200        |       -283.396   |       -281.297   |       -2.09886   |   (((D[&index=1]:0.542106,C[&index=2]:0.542106)[&index=6]:0.383206,B[&index=3]:0.925312)[&index=5]:0.074688,A[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:03   |   00:08:17   |
1400        |       -283.597   |       -281.448   |        -2.1483   |   ((B[&index=3]:0.860471,A[&index=4]:0.860471)[&index=5]:0.139529,(C[&index=2]:0.487620,D[&index=1]:0.487620)[&index=6]:0.512380)[&index=7]:0.000000;   |   00:00:04   |   00:09:27   |
1600        |       -290.946   |       -285.596   |       -5.35012   |   (((B[&index=3]:0.396194,C[&index=2]:0.396194)[&index=5]:0.024400,D[&index=1]:0.420594)[&index=6]:0.579406,A[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:05   |   00:10:20   |
1800        |       -284.541   |       -282.203   |       -2.33792   |   ((B[&index=3]:0.966170,(C[&index=2]:0.711301,D[&index=1]:0.711301)[&index=5]:0.254869)[&index=6]:0.033830,A[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:05   |   00:09:10   |
2000        |       -287.785   |       -286.183   |       -1.60142   |   (A[&index=4]:1.000000,((C[&index=2]:0.617671,D[&index=1]:0.617671)[&index=5]:0.190432,B[&index=3]:0.808103)[&index=6]:0.191897)[&index=7]:0.000000;   |   00:00:06   |   00:09:54   |
2200        |       -284.575   |       -282.466   |       -2.10854   |   ((A[&index=4]:0.962172,B[&index=3]:0.962172)[&index=6]:0.037828,(C[&index=2]:0.777217,D[&index=1]:0.777217)[&index=5]:0.222783)[&index=7]:0.000000;   |   00:00:06   |   00:08:59   |
2400        |       -284.216   |       -281.567   |       -2.64916   |   (((C[&index=2]:0.646387,D[&index=1]:0.646387)[&index=6]:0.256260,B[&index=3]:0.902647)[&index=5]:0.097353,A[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:07   |   00:09:36   |
2600        |       -284.295   |       -281.463   |       -2.83281   |   ((B[&index=3]:0.849677,A[&index=4]:0.849677)[&index=5]:0.150323,(D[&index=1]:0.525059,C[&index=2]:0.525059)[&index=6]:0.474941)[&index=7]:0.000000;   |   00:00:08   |   00:10:07   |
2800        |       -287.641   |       -282.067   |       -5.57429   |   ((A[&index=4]:0.765261,B[&index=3]:0.765261)[&index=6]:0.234739,(C[&index=2]:0.372088,D[&index=1]:0.372088)[&index=5]:0.627912)[&index=7]:0.000000;   |   00:00:08   |   00:09:23   |
3000        |        -283.94   |       -280.671   |       -3.26817   |   ((D[&index=1]:0.568513,C[&index=2]:0.568513)[&index=5]:0.431487,(A[&index=4]:0.763697,B[&index=3]:0.763697)[&index=6]:0.236303)[&index=7]:0.000000;   |   00:00:09   |   00:09:51   |
3200        |       -284.479   |        -282.14   |       -2.33891   |   ((A[&index=4]:0.970143,B[&index=3]:0.970143)[&index=5]:0.029857,(D[&index=1]:0.727585,C[&index=2]:0.727585)[&index=6]:0.272415)[&index=7]:0.000000;   |   00:00:10   |   00:10:15   |
3400        |       -285.138   |       -281.242   |       -3.89541   |   ((A[&index=4]:0.928754,B[&index=3]:0.928754)[&index=5]:0.071246,(D[&index=1]:0.365761,C[&index=2]:0.365761)[&index=6]:0.634239)[&index=7]:0.000000;   |   00:00:10   |   00:09:38   |
3600        |       -287.582   |        -285.29   |       -2.29159   |   (((C[&index=2]:0.426948,D[&index=1]:0.426948)[&index=5]:0.470247,A[&index=4]:0.897195)[&index=6]:0.102805,B[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:11   |   00:10:00   |
3800        |       -284.379   |       -282.024   |       -2.35471   |   ((A[&index=4]:0.998077,B[&index=3]:0.998077)[&index=5]:0.001923,(C[&index=2]:0.403911,D[&index=1]:0.403911)[&index=6]:0.596089)[&index=7]:0.000000;   |   00:00:12   |   00:10:19   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       timetree   |    elapsed   |        ETA   |
-----------------------------------------------------------------------------------------------------------------------
4000        |       -285.232   |       -281.253   |       -3.97885   |   (((D[&index=1]:0.448700,C[&index=2]:0.448700)[&index=6]:0.478136,B[&index=3]:0.926836)[&index=5]:0.073164,A[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:12   |   00:09:48   |
4200        |       -283.567   |       -281.969   |        -1.5983   |   (((D[&index=1]:0.590721,C[&index=2]:0.590721)[&index=5]:0.362338,B[&index=3]:0.953060)[&index=6]:0.046940,A[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:13   |   00:10:06   |
4400        |       -286.293   |       -285.345   |       -0.94721   |   (((C[&index=2]:0.861165,D[&index=1]:0.861165)[&index=5]:0.123164,A[&index=4]:0.984329)[&index=6]:0.015671,B[&index=3]:1.000000)[&index=7]:0.000000;   |   00:00:13   |   00:09:37   |
4600        |       -283.746   |       -282.637   |       -1.10928   |   ((A[&index=4]:0.921670,B[&index=3]:0.921670)[&index=5]:0.078330,(D[&index=1]:0.595383,C[&index=2]:0.595383)[&index=6]:0.404617)[&index=7]:0.000000;   |   00:00:14   |   00:09:54   |
4800        |       -284.762   |       -283.775   |      -0.987571   |   ((B[&index=3]:0.869012,(C[&index=2]:0.700942,D[&index=1]:0.700942)[&index=5]:0.168071)[&index=6]:0.130988,A[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:15   |   00:10:10   |
5000        |       -285.336   |       -282.571   |       -2.76491   |   ((B[&index=3]:0.835410,A[&index=4]:0.835410)[&index=5]:0.164590,(D[&index=1]:0.789039,C[&index=2]:0.789039)[&index=6]:0.210961)[&index=7]:0.000000;   |   00:00:16   |   00:10:24   |
5200        |       -288.119   |        -284.36   |       -3.75895   |   (((D[&index=1]:0.357340,C[&index=2]:0.357340)[&index=5]:0.329347,B[&index=3]:0.686688)[&index=6]:0.313312,A[&index=4]:1.000000)[&index=7]:0.000000;   |   00:00:17   |   00:10:36   |
5400        |       -285.128   |       -281.177   |       -3.95085   |   ((A[&index=4]:0.927767,B[&index=3]:0.927767)[&index=6]:0.072233,(C[&index=2]:0.443975,D[&index=1]:0.443975)[&index=5]:0.556025)[&index=7]:0.000000;   |   00:00:17   |   00:10:12   |
5600        |       -287.429   |       -281.605   |       -5.82384   |   ((B[&index=3]:0.858355,A[&index=4]:0.858355)[&index=5]:0.141645,(C[&index=2]:0.512316,D[&index=1]:0.512316)[&index=6]:0.487684)[&index=7]:0.000000;   |   00:00:18   |   00:10:24   |
